task_name,Neutral,Engagement,Joy,Fear,Disgust,Confusion,Anger,Sentimentality,Sadness,Surprise,Contempt
suburban-sunny-flow,71.8±81.5,31.6±56.6,119.6±88.0,7.8±21.2,1.0±3.5,4.6±11.5,0.9±3.8,2.3±11.9,0.0±0.0,1.6±4.0,0.3±1.5
suburban-rainy-flow,76.4±80.7,70.1±101.8,71.9±86.2,19.1±45.7,10.0±41.1,5.1±18.2,0.6±1.8,0.7±3.0,4.5±22.1,2.2±3.7,0.4±3.0
suburban-sunny-jam,190.1±118.0,77.1±113.6,65.9±74.5,24.2±40.2,41.2±71.0,20.2±30.3,15.7±50.2,0.0±0.0,13.3±59.4,7.3±10.7,1.6±6.4
suburban-rainy-jam,150.7±121.3,116.8±150.7,61.3±58.1,52.9±96.8,43.4±68.7,20.9±34.5,19.7±56.2,2.9±19.8,10.0±32.9,3.7±5.6,4.3±13.2
urban-sunny-flow,105.0±78.3,19.2±41.2,51.7±74.3,7.6±16.4,10.0±18.2,5.8±12.4,4.1±9.5,0.0±0.0,3.9±18.8,5.1±9.8,0.3±1.4
urban-rainy-flow,107.8±73.4,51.2±77.4,18.8±37.8,20.1±45.5,11.0±20.4,5.8±9.9,2.5±8.3,7.9±38.3,5.1±21.4,5.2±10.8,0.3±1.7
urban-sunny-jam,159.9±88.7,60.7±107.8,7.6±12.9,17.1±26.2,29.2±49.1,21.7±22.4,18.5±29.6,7.8±50.9,4.7±12.4,10.7±16.2,3.4±9.1
urban-rainy-jam,115.5±102.4,106.8±119.6,14.8±59.8,41.2±71.1,31.2±43.7,21.0±32.6,22.2±43.9,8.8±48.6,4.6±17.9,8.7±11.0,5.5±14.9
