file,start_timestamp,end_timestamp
RespCam_1009_p10_8_Neon Glasses_.mp4,1728445264.33,1728445636.0
RespCam_1009_p11_1_Neon Glasses_.mp4,1728463820.03,1728464082.0
RespCam_1009_p11_2_Neon Glasses_.mp4,1728459827.57,1728460186.0
RespCam_1009_p11_3_Neon Glasses_.mp4,1728462958.07,1728463338.0
RespCam_1009_p11_4_Neon Glasses_.mp4,1728464384.9,1728464834.0
RespCam_1009_p11_5_Neon Glasses_.mp4,1728461462.43,1728461698.0
RespCam_1009_p11_6_Neon Glasses_.mp4,1728460671.2,1728460932.0
RespCam_1009_p11_7_Neon Glasses_.mp4,1728462074.33,1728462352.0
RespCam_1009_p11_8_Neon Glasses_.mp4,1728465291.53,1728465722.0
RespCam_1010_p12_1_Neon Glasses_.mp4,1728552747.7,1728553002.0
RespCam_1010_p12_2_Neon Glasses_.mp4,1728549721.63,1728550050.0
RespCam_1010_p12_3_Neon Glasses_.mp4,1728548589.2,1728549086.0
RespCam_1010_p12_4_Neon Glasses_.mp4,1728544598.2,1728545190.0
RespCam_1010_p12_5_Neon Glasses_.mp4,1728546369.27,1728546586.0
RespCam_1010_p12_6_Neon Glasses_.mp4,1728551951.47,1728552322.0
RespCam_1010_p12_7_Neon Glasses_.mp4,1728550445.0,1728550810.0
RespCam_1010_p12_8_Neon Glasses_.mp4,1728551324.43,1728551576.0
RespCam_1014_p13_1_Neon Glasses_.mp4,1728890262.9,1728890488.0
RespCam_1014_p13_2_Neon Glasses_.mp4,1728894450.8,1728894656.0
RespCam_1014_p13_3_Neon Glasses_.mp4,1728893497.2,1728893850.0
RespCam_1014_p13_4_Neon Glasses_.mp4,1728891605.73,1728891966.0
RespCam_1014_p13_5_Neon Glasses_.mp4,1728895068.43,1728895266.0
RespCam_1014_p13_6_Neon Glasses_.mp4,1728891010.47,1728891208.0
RespCam_1014_p13_7_Neon Glasses_.mp4,1728889353.0,1728889704.0
RespCam_1014_p13_8_Neon Glasses_.mp4,1728892551.57,1728892920.0
RespCam_1015_p14_1_Neon Glasses_.mp4,1728962480.53,1728962834.0
RespCam_1015_p14_2_Neon Glasses_.mp4,1728959682.07,1728960174.0
RespCam_1015_p14_3_Neon Glasses_.mp4,1728963987.93,1728964386.0
RespCam_1015_p14_4_Neon Glasses_.mp4,1728964749.07,1728965132.0
RespCam_1015_p14_5_Neon Glasses_.mp4,1728965454.17,1728965694.0
RespCam_1015_p14_6_Neon Glasses_.mp4,1728962035.7,1728962280.0
RespCam_1015_p14_7_Neon Glasses_.mp4,1728963160.33,1728963624.0
RespCam_1015_p14_8_Neon Glasses_.mp4,1728961184.7,1728961616.0
RespCam_1016_p15_1_Neon Glasses_.mp4,1729046880.03,1729047088.0
RespCam_1016_p15_2_Neon Glasses_.mp4,1729049266.33,1729049512.0
RespCam_1016_p15_3_Neon Glasses_.mp4,1729047445.13,1729047820.0
RespCam_1016_p15_4_Neon Glasses_.mp4,1729049795.27,1729050162.0
RespCam_1016_p15_5_Neon Glasses_.mp4,1729048201.0,1729048404.0
RespCam_1016_p15_6_Neon Glasses_.mp4,1729045604.75,1729045808.0
RespCam_1016_p15_7_Neon Glasses_.mp4,1729046113.57,1729046450.0
RespCam_1016_p15_8_Neon Glasses_.mp4,1729048621.2,1729048816.0
